"MF";"scientificName";"taxonRank";"kingdom";"phylum";"class";"order";"family";"genus";"specificEpithet";"infraspecificEpithet";"scientificNameAuthorship";"establishmentMeans";"Ind.NonInd";"trophic"
"102";"Pseudophloeophagus tenax borgesi Stüben, 2022";"subspecies";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Pseudophloeophagus";"tenax";"borgesi";"Stüben, 2022";"E";"Ind";"H"
"117";"Lathys dentichelis (Simon, 1883)";"species";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Dictynidae";"Lathys";"dentichelis";NA;"(Simon, 1883)";"N";"Ind";"P"
"121";"Ectopsocus briggsi McLachlan, 1899";"species";"Animalia";"Arthropoda";"Insecta";"Psocodea";"Ectopsocidae";"Ectopsocus";"briggsi";NA;"McLachlan, 1899";"I";"NonInd";"S"
"124";"Cyphopterum adscendens (Herrich-Schäffer, 1835)";"species";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Flatidae";"Cyphopterum";"adscendens";NA;"(Herrich-Schäffer, 1835)";"N";"Ind";"H"
"13";"Hoplothrips corticis (De Geer, 1773)";"species";"Animalia";"Arthropoda";"Insecta";"Thysanoptera";"Phlaeothripidae";"Hoplothrips";"corticis";NA;"(De Geer, 1773)";"N";"Ind";"F"
"134";"Gibbaranea occidentalis Wunderlich, 1989";"species";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Araneidae";"Gibbaranea";"occidentalis";NA;"Wunderlich, 1989";"E";"Ind";"P"
"137";"Pinalitus oromii J. Ribes, 1992";"species";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Miridae";"Pinalitus";"oromii";NA;"J. Ribes, 1992";"E";"Ind";"H"
"141";"Calacalles subcarinatus (Israelson, 1984)";"species";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Calacalles";"subcarinatus";NA;"(Israelson, 1984)";"E";"Ind";"H"
"144";"Trigoniophthalmus borgesi Mendes, Gaju, Bach & Molero, 2000";"species";"Animalia";"Arthropoda";"Insecta";"Archaeognatha";"Machilidae";"Trigoniophthalmus";"borgesi";NA;"Mendes, Gaju, Bach & Molero, 2000";"E";"Ind";"S"
"167";"Kleidocerys ericae (Horváth, 1909)";"species";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Lygaeidae";"Kleidocerys";"ericae";NA;"(Horváth, 1909)";"N";"Ind";"H"
"179";"Leucognatha acoreensis Wunderlich, 1992";"species";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Tetragnathidae";"Leucognatha";"acoreensis";NA;"Wunderlich, 1992";"E";"Ind";"P"
"181";"Savigniorrhipis acoreensis Wunderlich, 1992";"species";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Savigniorrhipis";"acoreensis";NA;"Wunderlich, 1992";"E";"Ind";"P"
"184";"Elipsocus azoricus Meinander, 1975";"species";"Animalia";"Arthropoda";"Insecta";"Psocodea";"Elipsocidae";"Elipsocus";"azoricus";NA;"Meinander, 1975";"E";"Ind";"S"
"191";"Valenzuela flavidus (Stephens, 1836)";"species";"Animalia";"Arthropoda";"Insecta";"Psocodea";"Caeciliusidae";"Valenzuela";"flavidus";NA;"(Stephens, 1836)";"N";"Ind";"S"
"195";"Trioza laurisilvae Hodkinson, 1990";"species";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Triozidae";"Trioza";"laurisilvae";NA;"Hodkinson, 1990";"N";"Ind";"H"
"198";"Macaroeris cata (Blackwall, 1867)";"species";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Salticidae";"Macaroeris";"cata";NA;"(Blackwall, 1867)";"N";"Ind";"P"
"200";"Hemerobius azoricus Tjeder, 1948";"species";"Animalia";"Arthropoda";"Insecta";"Neuroptera";"Hemerobiidae";"Hemerobius";"azoricus";NA;"Tjeder, 1948";"E";"Ind";"P"
"21";"Tenuiphantes tenuis (Blackwall, 1852)";"species";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Tenuiphantes";"tenuis";NA;"(Blackwall, 1852)";"I";"NonInd";"P"
"257";"Catops coracinus Kellner, 1846";"species";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Leiodidae";"Catops";"coracinus";NA;"Kellner, 1846";"N";"Ind";"S"
"27";"Lithobius pilicornis pilicornis Newport, 1844";"subspecies";"Animalia";"Arthropoda";"Chilopoda";"Lithobiomorpha";"Lithobiidae";"Lithobius";"pilicornis";"pilicornis";"Newport, 1844";"N";"Ind";"P"
"312";"Acorigone acoreensis (Wunderlich, 1992)";"species";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Acorigone";"acoreensis";NA;"(Wunderlich, 1992)";"E";"Ind";"P"
"370";"Elipsocus brincki Badonnel, 1963";"species";"Animalia";"Arthropoda";"Insecta";"Psocodea";"Elipsocidae";"Elipsocus";"brincki";NA;"Badonnel, 1963";"E";"Ind";"S"
"39";"Pisaura acoreensis Wunderlich, 1992";"species";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Pisauridae";"Pisaura";"acoreensis";NA;"Wunderlich, 1992";"E";"Ind";"P"
"421";"Walckenaeria grandis (Wunderlich, 1992)";"species";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Walckenaeria";"grandis";NA;"(Wunderlich, 1992)";"E";"Ind";"P"
"439";"Notothecta dryochares (Israelson, 1985)";"species";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Staphylinidae";"Notothecta";"dryochares";NA;"(Israelson, 1985)";"E";"Ind";"P"
"44";"Cinara juniperi (De Geer, 1773)";"species";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Aphididae";"Cinara";"juniperi";NA;"(De Geer, 1773)";"N";"Ind";"H"
"46";"Drouetius borgesi borgesi (Machado, 2009)";"subspecies";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Drouetius";"borgesi";"borgesi";"(Machado, 2009)";"E";"Ind";"H"
"465";"Eupteryx azorica Ribaut, 1941";"species";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Cicadellidae";"Eupteryx";"azorica";NA;"Ribaut, 1941";"E";"Ind";"H"
"476";"Monalocoris filicis (Linnaeus, 1758)";"species";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Miridae";"Monalocoris";"filicis";NA;"(Linnaeus, 1758)";"N";"Ind";"H"
"478";"Trichopsocus clarus (Banks, 1908)";"species";"Animalia";"Arthropoda";"Insecta";"Psocodea";"Trichopsocidae";"Trichopsocus";"clarus";NA;"(Banks, 1908)";"N";"Ind";"S"
"5";"Rugathodes acoreensis Wunderlich, 1992";"species";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Theridiidae";"Rugathodes";"acoreensis";NA;"Wunderlich, 1992";"E";"Ind";"P"
"557";"Strophingia harteni Hodkinson, 1981";"species";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Liviidae";"Strophingia";"harteni";NA;"Hodkinson, 1981";"E";"Ind";"H"
"57";"Atheta aeneicollis (Sharp, 1869)";"species";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Staphylinidae";"Atheta";"aeneicollis";NA;"(Sharp, 1869)";"Indeterminate";"Indeterminate";"P"
"59";"Zetha simonyi (Krauss, 1892)";"species";"Animalia";"Arthropoda";"Insecta";"Blattodea";"Corydiidae";"Zetha";"simonyi";NA;"(Krauss, 1892)";"N";"Ind";"S"
"6";"Leiobunum blackwalli Meade, 1861";"species";"Animalia";"Arthropoda";"Arachnida";"Opiliones";"Leiobunidae";"Leiobunum";"blackwalli";NA;"Meade, 1861";"N";"Ind";"P"
"7";"Cixius azoterceirae Remane & Asche, 1979";"species";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Cixiidae";"Cixius";"azoterceirae";NA;"Remane & Asche, 1979";"E";"Ind";"H"
"78";"Anaspis proteus Wollaston, 1854";"species";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Scraptiidae";"Anaspis";"proteus";NA;"Wollaston, 1854";"N";"Ind";"H"
"89";"Tachyporus nitidulus (Fabricius, 1781)";"species";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Staphylinidae";"Tachyporus";"nitidulus";NA;"(Fabricius, 1781)";"Indeterminate";"Indeterminate";"P"
"9";"Ommatoiulus moreleti (Lucas, 1860)";"species";"Animalia";"Arthropoda";"Diplopoda";"Julida";"Julidae";"Ommatoiulus";"moreleti";NA;"(Lucas, 1860)";"I";"NonInd";"H"
